Startup,Sector,Business model,Employee count 2Q 2023,Employment taxes 2Q 2023,Turnover 2Q 2023,Year founded
 Bolt,Transportation & Logistics,B2B2C,1290,€ 9M,€ 302.5M,2013
 Wise,FinTech,"B2B, C2C, B2C",1899,€ 8.7M,€ 54.6K,2013
 Veriff,CyberTech,"B2B, B2B2C",330,€ 2.4M,€ 18.1M,2015
 Monese,FinTech,-,240,€ 1.6M,€ 74K,2015
 Starship Technol...,Transportation & Logistics,-,166,€ 1.4M,€ 5.4M,2014
 Glia,Communication,"B2B, B2B2C",159,€ 1.2M,€ 3.6M,2016
 Milrem Robotics,Transportation & Logistics,"B2B, B2G",192,€ 1.1M,€ 3.9M,2013
 Eurora Solutions,Business software & HR,"B2B, B2C",150,€ 1.1M,€ 1.4M,2018
 Katana MRP,Advanced Manufacturing & Industry,"B2B, B2C, B2B2C",114,€ 960.7K,€ 1.7M,2017
 Swappie,Consumer products and services,B2C,409,€ 863.7K,€ 6.6M,2020
 Deel,Business software & HR,"B2B, B2B2C",104,€ 838.4K,€ 1.3K,2021
 Tuum,FinTech,B2B,71,€ 780.2K,€ 1.7M,2019
 Comodule,CleanTech,"B2B, B2C, B2B2C",130,€ 719.4K,€ 6.8M,2014
 Scoro,Business software & HR,B2B,90,€ 609.3K,€ 3.4M,2013
 3Commas,FinTech,"B2B, B2C, B2B2C",38,€ 563.3K,€ 3.4M,2016
 Xolo OÜ,FinTech,"B2B, B2C",93,€ 541.3K,€ 1.5M,2015
 ONOFF APP OÜ,Communication,B2B2C,70,€ 536.8K,€ 2.6M,2014
 Testlio,Business software & HR,-,51,€ 475.3K,€ 1.4M,2013
 CybExer Technolo...,CyberTech,-,43,€ 469.2K,€ 938.9K,2016
 GoWorkAbit,Business software & HR,-,276,€ 459.2K,€ 1.3M,2013
 Threod Systems,SpaceTech,-,97,€ 409.2K,€ 3.8M,2012
 Change Invest,FinTech,B2C,44,€ 390.7K,€ 142.3K,2016
 Salv,FinTech,B2B,57,€ 369K,€ 575.2K,2018
 Klaus,Business software & HR,"B2B, B2C",46,€ 350.8K,€ 1.8M,2018
 Pactum AI OÜ,Business software & HR,"B2B, B2C, B2B2C",34,€ 329.1K,€ 1.7K,2019
 RangeForce,CyberTech,B2B,32,€ 314.9K,€ 1.1M,2014
 Turnit,TravelTech,"B2B, B2G, B2B2C",48,€ 298.5K,€ 1.2M,2014
 Roofit.solar,CleanTech,"B2B, B2C, B2B2C",56,€ 293.1K,€ 1.4M,2016
 Bob W,TravelTech,"B2B, B2C",60,€ 281K,€ 496.8K,2018
 Fractory,Advanced Manufacturing & Industry,B2B,35,€ 280.3K,€ 2.4M,2017
 Planet42,FinTech,"B2C, B2B2C",34,€ 277.5K,€ 532.9K,2017
 Auve,Transportation & Logistics,"B2B, B2B2C",47,€ 269K,€ 392.6K,2017
 EstateGuru,FinTech,"B2B, B2C, B2B2C",38,€ 250.9K,-,2013
 Wolf3D,Gaming,"B2B, B2B2C",32,€ 246.7K,€ 698.5K,2013
 Silen,Advanced Manufacturing & Industry,-,53,€ 236.1K,€ 3.7M,2018
 OCCO,Business software & HR,B2B,34,€ 234.8K,€ 4.5M,2016
 eAgronom,AgTech & FoodTech,B2B,32,€ 229.8K,€ 489.2K,2016
 MRP Easy,Business software & HR,B2B,30,€ 225.9K,€ 1.4M,2014
 Viveo Health,"HealthTech, Life sciences & Wellness",B2B,10,€ 217.4K,€ 2.1K,2017
 VOOL,CleanTech,B2B2C,34,€ 205K,€ 138.6K,2018
 GScan,Advanced Manufacturing & Industry,"B2B, B2G",42,€ 202.3K,€ 1.1M,2018
 Jobbatical,Business software & HR,B2B2C,29,€ 195.9K,€ 1.7M,2014
 MCF,Communication,B2B,27,€ 189.5K,€ 346.1K,2016
 HUUM,Consumer products and services,-,35,€ 182.8K,€ 2.7M,2013
 CyberCube Analyt...,CyberTech,B2B,20,€ 175K,€ 783.4K,2019
 Insly Ltd,FinTech,"B2B, B2B2C",42,€ 173.6K,€ 737K,2013
 R8 TECHNOLOGIES,PropTech & Construction,B2B,30,€ 170.1K,€ 543.7K,2017
 Car Rental Gatew...,TravelTech,B2B,41,€ 164.2K,€ 445.7K,2016
 Topia,Business software & HR,-,30,€ 164.1K,€ 857.9K,2014
 Moss Estonia,FinTech,B2B,13,€ 163.1K,€ 445.7K,2021
 Lingvist,EdTech,B2C,28,€ 154.1K,€ 902.7K,2012
 SkySelect,Transportation & Logistics,B2B,15,€ 152.4K,€ 425.4K,2017
 Fiizy,FinTech,B2B2C,13,€ 152.3K,€ 2.3M,2014
 Stargate Hydroge...,Advanced Manufacturing & Industry,B2B,27,€ 148.5K,€ 132.7K,2021
 Shopz.com,Consumer products and services,B2B,28,€ 146.3K,€ 566.1K,2020
 Solarstone,CleanTech,"B2B, B2C, B2B2C",39,€ 146.2K,€ 1.2M,2015
 Paxful,FinTech,"B2C, B2B2C",-,€ 139.6K,€ 30.7K,2016
 Outvio OÜ,Business software & HR,B2B2C,21,€ 137.7K,€ 438.6K,2017
 EyeVi Technologi...,Transportation & Logistics,B2B,29,€ 136.6K,€ 145.2K,2020
 Ampler Bikes,Transportation & Logistics,B2C,80,€ 134K,€ 2.7M,2014
 PowerUp Fuel Cel...,CleanTech,"B2B, B2B2C",30,€ 125.6K,€ 186.4K,2016
 Overstep by Game...,Gaming,"B2B, B2C",39,€ 118.7K,€ 972.9K,2015
 Bikeep,Transportation & Logistics,"B2B, B2G, B2B2C",29,€ 114.9K,€ 1.1M,2012
 Fairown,FinTech,B2B2C,18,€ 114.2K,-,2018
 KOOS.io,FinTech,"B2B, B2B2C",14,€ 113.9K,€ 27.2K,2021
 Fusebox Energy,CleanTech,B2B,15,€ 112.6K,€ 109.1K,2014
 LightCode Photon...,Advanced Manufacturing & Industry,B2B,21,€ 111.8K,€ 1.1K,2020
 VARCUS Solutions,Transportation & Logistics,B2B,25,€ 111K,€ 494.4K,2020
 Evocon OÜ,Advanced Manufacturing & Industry,B2B,22,€ 108.8K,€ 694.6K,2016
 Messente Communi...,CyberTech,B2B,17,€ 107.4K,€ 5.5M,2013
 CoinMetro Group ...,FinTech,"C2C, B2C",16,€ 106.5K,€ 26K,2018
 KWOTA,CleanTech,B2B,9,€ 102.9K,€ 1.9K,2021
 LEI Register,FinTech,B2B,22,€ 100.9K,€ 3.3M,2018
 Funderbeam.,FinTech,"B2C, B2B2C",11,€ 98.4K,€ 264.1K,2013
 Tuul,Transportation & Logistics,B2C,70,€ 98.1K,€ 573.2K,2021
 1oT,Communication,B2B,28,€ 96.1K,€ 1.1M,2016
 ESTO,FinTech,B2B2C,27,€ 95.8K,€ 182.5K,2017
 Agrello,Business software & HR,"B2B, B2C, B2B2C",12,€ 95.1K,€ 29.9K,2017
 Weekdone,Business software & HR,B2B,10,€ 94.1K,€ 196.2K,2012
 Rendin,PropTech & Construction,"B2C, B2B2C",20,€ 94K,€ 39.4K,2019
 Certific OÜ,"HealthTech, Life sciences & Wellness","B2B, B2C",13,€ 92.2K,€ 49.4K,2020
 Sentinel,CyberTech,"B2B, B2G",8,€ 91.8K,€ 20.2K,2018
 DefSecIntel,CyberTech,"B2B, B2G",10,€ 91.1K,€ 3.5M,2018
 Area9 Rhapsode,EdTech,"B2B, B2G, B2B2C",23,€ 90.4K,€ 227K,2021
 MyDello,Transportation & Logistics,B2B,11,€ 88.5K,€ 1.1M,2018
 MotherLink,AdTech & Creative Tech,B2B,22,€ 87.3K,€ 1M,2017
 Liigu,TravelTech,B2C,38,€ 87K,€ 150.6K,2021
 MINDTITAN,Business software & HR,B2B,28,€ 85.9K,€ 489.4K,2016
 NodeSWAT,Business software & HR,-,15,€ 85.6K,€ 465.2K,2012
 SensusQ,Communication,"B2B, B2G",17,€ 84.8K,€ 5.7K,2020
 Ultra,Gaming,B2C,12,€ 83.2K,€ 1.5M,2018
 GlobalReader,Advanced Manufacturing & Industry,B2B,18,€ 82.4K,€ 345.8K,2014
 Uku,Consumer products and services,"B2B, B2B2C",17,€ 82.1K,€ 426.9K,2017
 Alpha3D,Consumer products and services,B2B,13,€ 76.7K,€ 210.4K,2018
 FoodDocs,AgTech & FoodTech,B2B,10,€ 73.4K,€ 204.5K,2017
 Depowise,FinTech,B2B,8,€ 73.3K,€ 347.7K,2021
 Citybee,Transportation & Logistics,B2C,22,€ 72.9K,€ 4.4M,2019
 CoinsPaid,FinTech,"B2B, B2C",7,€ 72.9K,€ 2.9M,2019
 Credy,FinTech,B2C,13,€ 72.8K,€ 2.4M,2015
 MeetFrank,Business software & HR,"B2B, B2B2C",9,€ 71.7K,€ 219.5K,2017
 Multilogin,CyberTech,"B2B, B2C",10,€ 70.9K,€ 2.7M,2015
 Smaily email mar...,Business software & HR,"B2C, B2B2C",14,€ 69.8K,€ 390.7K,2015
 Gridio,CleanTech,"B2C, B2B2C",10,€ 67.3K,€ 26.7K,2018
 Binalyze,CyberTech,"B2B, B2C",4,€ 66.7K,€ 2.4M,2018
 FeelingStream,Business software & HR,B2B,10,€ 66.6K,€ 248.9K,2015
 Hepta Airborne (...,CleanTech,"B2B, B2G",19,€ 66.2K,€ 152K,2017
 Antegenes,"HealthTech, Life sciences & Wellness","B2B, B2G, B2C, B2B2C",14,€ 66.1K,€ 99.2K,2018
 Modash,AdTech & Creative Tech,B2B,10,€ 65.2K,€ 1.3M,2018
 Spaceit,SpaceTech,"B2B, B2B2C",9,€ 65.2K,€ 46.2K,2015
 Yaga,Consumer products and services,C2C,12,€ 64.9K,€ 465.5K,2017
 Clickwork Games,Gaming,-,12,€ 64.5K,€ 8.1K,2019
 RecruitLab,Business software & HR,"B2B, B2G",8,€ 63.5K,€ 153.6K,2020
 Synctuition OÜ,"HealthTech, Life sciences & Wellness","B2B, B2C",15,€ 60.9K,€ 874.1K,2016
 KappaZeta,SpaceTech,"B2B, B2G",16,€ 60.7K,€ 93.1K,2015
 Opiq,EdTech,"B2B, B2B2C",15,€ 59.7K,€ 222.8K,2013
 Woola,CleanTech,B2B,10,€ 59.2K,€ 171K,2020
 FanSifter,AdTech & Creative Tech,B2B,6,€ 58.4K,€ 12.1K,2019
 yummy,AgTech & FoodTech,B2C,24,€ 57.1K,€ 494.1K,2020
 Kodea OÜ,Advanced Manufacturing & Industry,B2B,4,€ 56.4K,€ 611.1K,2018
 VIVITA Internati...,EdTech,B2C,9,€ 56.3K,€ 7K,2018
 Bidrento,PropTech & Construction,B2B,9,€ 56.2K,€ 83.7K,2019
 Viseven,Business software & HR,-,11,€ 55.9K,€ 8.7M,2014
 Werk,PropTech & Construction,B2B,8,€ 55.6K,€ 8.6K,2020
 Fintech-Market,FinTech,"B2B, B2B2C",12,€ 54K,€ 207.3K,2018
 Haut.AI,"HealthTech, Life sciences & Wellness",B2B,6,€ 53.6K,€ 805.9K,2018
 Timbeter,Advanced Manufacturing & Industry,-,14,€ 52.4K,€ 89.4K,2013
 Eziil Production...,Advanced Manufacturing & Industry,B2B,13,€ 50.8K,€ 159.7K,2016
 Fyma OÜ,PropTech & Construction,"B2B, B2G",6,€ 50.8K,€ 53.3K,2017
 Mekl,Business software & HR,B2B,2,€ 50.8K,€ 823.2K,2019
 Activate Health,"HealthTech, Life sciences & Wellness","B2B, B2C, B2B2C",10,€ 50.3K,€ 1.6K,2020
 Teamscope,Business software & HR,B2B,8,€ 49.4K,€ 97K,2015
 Arbonics,CleanTech,B2B,6,€ 49K,€ 38.2K,2022
 Salto X,FinTech,B2B2C,5,€ 48.9K,€ 168.1K,2021
 Lightyear,FinTech,-,9,€ 48.6K,-,2021
 Outfunnel,AdTech & Creative Tech,B2B,4,€ 48.4K,€ 168K,2018
 Stakin,FinTech,"B2B, B2C, B2B2C",-,€ 47.9K,€ 183.4K,2020
 Remato,PropTech & Construction,B2B,8,€ 47.8K,€ 197.4K,2018
 Soter Analytics,"HealthTech, Life sciences & Wellness","B2B, B2G",8,€ 47.5K,€ 526,2016
 Avokaado,Business software & HR,B2B,9,€ 47.4K,€ 176.4K,2016
 Nanordica Medica...,"HealthTech, Life sciences & Wellness","B2B, B2B2C",7,€ 46.1K,€ 14.8K,2019
 Degritter,Consumer products and services,B2B2C,17,€ 45.9K,€ 575.9K,2015
 Hotelbuddy,TravelTech,B2B,5,€ 45.8K,€ 15.1K,2021
 Reiterate,Business software & HR,B2B,8,€ 45.6K,€ 20.6K,2021
 Pocopay,FinTech,-,6,€ 45.5K,€ 181.5K,2014
 EFENCO,CleanTech,B2B,9,€ 45.5K,€ 22.8K,2015
 Bankish,FinTech,B2B,9,€ 45.5K,€ 144.8K,2017
 Gelatex,Advanced Manufacturing & Industry,B2B,9,€ 45.1K,€ 62.9K,2016
 Atomic Wallet,FinTech,B2C,5,€ 44.9K,€ 1.8M,2018
 Superhands,CleanTech,"B2B, B2C, B2B2C",12,€ 44.9K,€ 240.1K,2014
 H2Electro,CleanTech,B2B,7,€ 44.4K,€ 26.3K,2021
 Up Catalyst,CleanTech,B2B,18,€ 44.3K,€ 136.7K,2019
 Vegvisir,Advanced Manufacturing & Industry,"B2B, B2G",5,€ 44K,€ 60.2K,2021
 Airobot,CleanTech,"B2B, B2C",8,€ 43.7K,€ 388.9K,2021
 99math,EdTech,"B2C, B2B2C",7,€ 43.7K,-,2019
 Nevercode,Business software & HR,B2B,8,€ 43K,€ 150.6K,2015
 Guardarian OU,FinTech,"B2B, B2C, B2B2C",9,€ 42.5K,€ 349.6K,2017
 Resys,FinTech,-,7,€ 41.6K,€ 272.1K,2016
 Dashbird,Business software & HR,-,5,€ 40.3K,€ 173K,2017
